"BOID (423)","Published","Title (423)","Authors (280)","URL","Bitsy Jam","A","Notes"
"E9FA5F7D","27/08/2017","Secret Vitae","Saida Woolf","https://saidawoolf.itch.io/secreta-vitae","A Secret (Bitsy Jam)","",""
"2EE5575D","28/08/2017","les neuf chambres","ted","https://t76.itch.io/les-neuf-chambres","A Secret (Bitsy Jam)","",""
"9A67B2F5","29/08/2017","Write Your Game's Title Here.","Ash","https://biostre.itch.io/write-your-games-title-here","A Secret (Bitsy Jam)","",""
"72F01457","29/08/2017","test_","zetef","https://zetef.itch.io/test-","A Secret (Bitsy Jam)","",""
"CC743497","30/08/2017","The Dumb Secret","Shadownat3","https://shadownat3.itch.io/the-dumb-secret","A Secret (Bitsy Jam)","",""
"D3E0A6A5","30/08/2017","the gardeners story","thetoolong","https://thetoolong.itch.io/the-gardeners-story","A Secret (Bitsy Jam)","",""
"8661472B","30/08/2017","Hidden Fears","ZaqLovesBooks","https://zaqlovesbooks.itch.io/hidden-fears","A Secret (Bitsy Jam)","",""
"FF7BCF9C","31/08/2017","A Broken Pirate's Cursed Heart","AshGary","https://ashgary.itch.io/a-broken-pirates-cursed-heart","A Secret (Bitsy Jam)","",""
"44417B86","31/08/2017","Choices","AD1Crazy","https://ad1crazy.itch.io/choices","A Secret (Bitsy Jam)","",""
"0DF1B861","31/08/2017","One Leaf After Another","Shadownat3","https://shadownat3.itch.io/one-leaf-after-another","A Secret (Bitsy Jam)","",""
"85D7AE4C","31/08/2017","|| I-,`'-' \=I 'I '--I -' |","Sean","https://seansleblanc.itch.io/theyve-got-a-secret","A Secret (Bitsy Jam)","",""
"4F168452","01/09/2017","Put my gun down!","Saranomy","https://saranomy.itch.io/pmgd","A Secret (Bitsy Jam)","",""
"520EB299","01/09/2017","Secrets","PhantomDreamer","https://phantomdreamer.itch.io/secrets","A Secret (Bitsy Jam)","",""
"A0921A74","01/09/2017","Secret Agent Bob","Ali Star 302","https://ali-star-302.itch.io/secret-agent-bob","A Secret (Bitsy Jam)","",""
"27DFE783","02/09/2017","You Only watched","Shadownat3","https://shadownat3.itch.io/you-only-watched","A Secret (Bitsy Jam)","",""
"53DE241A","02/09/2017","The Underwater Temple of Truth","otterdisaster","https://otterdisaster.itch.io/the-underwater-temple-of-truth","A Secret (Bitsy Jam)","",""
"1101639B","03/09/2017","Hidden","amithea","https://amithea.itch.io/hidden","A Secret (Bitsy Jam)","",""
"92D589B9","03/09/2017","Is it ok to trust a talkative turtle?","Bastien Barault","https://bastien-barault.itch.io/is-it-okay-to-trust-a-talkative-turtle","A Secret (Bitsy Jam)","",""
"E51A9370","03/09/2017","Tusan Homichi Tuvota","supiket","https://supiket.itch.io/tusanhomichi","A Secret (Bitsy Jam)","",""
"4408EF3D","03/09/2017","Local Network","Arcadim","https://arcadim.itch.io/local-network","A Secret (Bitsy Jam)","",""
"BEC87469","03/09/2017","the box","RikematDev","https://rikemat.itch.io/thebox","A Secret (Bitsy Jam)","",""
"513FF4FE","04/09/2017","A Kittypet's Adventure","DatKewlKat","https://datkewlkat.itch.io/a-kittypets-adventure","","",""
"0CA8CCC9","04/09/2017","My Secret Life","Lucky Pixel","https://music-monster.itch.io/my-secret-life","A Secret (Bitsy Jam)","",""
"8AC740AE","04/09/2017","Secret Light","Kydrang","https://kydrang.itch.io/secret-light","A Secret (Bitsy Jam)","",""
"0A36075D","04/09/2017","The Pit","rednax","https://rednax.itch.io/the-pit","A Secret (Bitsy Jam)","",""
"1DA792EC","04/09/2017","The Great Song","machinescreen","https://machinescreen.itch.io/the-great-song","A Secret (Bitsy Jam)","",""
"2CB392B5","04/09/2017","bildungsroman in miniature","Lily Lapidese","https://taako.itch.io/bildungsroman","A Secret (Bitsy Jam)","",""
"21E26B92","04/09/2017","Cat's Out of the Bag!","Claire Morley","https://claire1605.itch.io/cats-out-of-the-bag","A Secret (Bitsy Jam)","",""
"BA04ECD6","05/09/2017","Milk","joannak","https://joannak.itch.io/milk","A Secret (Bitsy Jam)","",""
"5C950583","05/09/2017","What's behind the door?","oblatespheroid","https://oblatespheroid.itch.io/door","A Secret (Bitsy Jam)","",""
"4047BDE0","05/09/2017","Forbidden Numbers","mikesuszek","https://mikesuszek.itch.io/forbidden-numbers","A Secret (Bitsy Jam)","",""
"28AAA6C5","05/09/2017","Grabover Manor","lordvark","https://lordvark.itch.io/grabover-manor","A Secret (Bitsy Jam)","",""
"8FABA1DA","05/09/2017","Snoop!","adam80027","https://adam80027.itch.io/snoop","A Secret (Bitsy Jam)","",""
"0BD38FFA","05/09/2017","SECRETBOT!","Plum","https://plum.itch.io/secretbot","A Secret (Bitsy Jam)","",""
"A2888BEB","05/09/2017","there is a secret tunnel to the center of the earth","SOULSKATER","https://soulskater.itch.io/secrettunnel","A Secret (Bitsy Jam)","",""
"CD0609B6","05/09/2017","A Party of High Tension","Edited","https://edited.itch.io/a-party-of-high-tension","A Secret (Bitsy Jam)","",""
"245EE1C6","05/09/2017","no secrets","quasiotter","https://quasiotter.itch.io/no-secrets","A Secret (Bitsy Jam)","",""
"B2235893","05/09/2017","scription","LJRadio","https://ljradio.itch.io/scripture-","A Secret (Bitsy Jam)","",""
"057AB6B4","05/09/2017","A Secret Bitsy Game","hyper structure","https://hyperstructure.itch.io/a-secret-bitsy-jam","A Secret (Bitsy Jam)","",""
"A3B29805","05/09/2017","The Secret of the Secret Room","Night Driver","https://night-driver.itch.io/the-secret-of-the-secret-room","A Secret (Bitsy Jam)","",""
"60A5C704","06/09/2017","the marble princess had secrets","triage*","https://triage.itch.io/the-marble-princess-had-secrets","A Secret (Bitsy Jam)","",""
"643FC08B","06/09/2017","Daniel's Graduation Party","kwisd","https://kwisd.itch.io/daniels-graduation-party","","",""
"70EA1CA6","11/09/2017","Operation: Labrat","wjhollyart","https://wjhollyart.itch.io/operation-labrat","","",""
"5D0D6049","13/09/2017","A Game","Shadownat3","https://shadownat3.itch.io/a-game","","",""
"19217AC5","17/09/2017","Cemetery Walk","idlephononautica","https://idlephononautica.itch.io/cemeterywalk","","",""
"0FABC625","20/09/2017","Jacques","ruin","https://ruin.itch.io/jacques","","",""
"9C2BFA27","23/09/2017","and i turn, turn, turn","OffworldHometown","https://offworldhometown.itch.io/and-i-turn-turn-turn","","",""
"5BF0A60A","28/09/2017","BIrd's Mind","AdventurJourney","https://adventurjourney.itch.io/birds-mind","","",""
"4D6A7604","28/09/2017","Stilled on a Train","Seik Sugaloth","https://seiksugaloth.itch.io/stilled-on-a-train","Traintracks (Bitsy Jam)","",""
"17F6799B","28/09/2017","A Train Ride to No Where","Jackson Allen","https://jackson-allen.itch.io/train-ride","Traintracks (Bitsy Jam)","",""
"CBBFB107","28/09/2017","no destination","Mark Wonnacott","https://candle.itch.io/no-destination","Traintracks (Bitsy Jam)","",""
"147B1F8A","29/09/2017","Fever dream","saucetin","https://saucetin.itch.io/fever-dream-bitsyjam","Traintracks (Bitsy Jam)","",""
"8025521D","29/09/2017","Limbo Train","Claire Morley","https://claire1605.itch.io/limbo-train","Traintracks (Bitsy Jam)","",""
"7769825B","30/09/2017","R e d EYE","Cian Rice","https://thecianrice.itch.io/r-e-d-eye","Traintracks (Bitsy Jam)","",""
"BA102197","30/09/2017","Little Locomotive","8BitLlama","https://8bitllama.itch.io/little-locomotive","Traintracks (Bitsy Jam)","",""
"40D242A5","01/10/2017","Tracks","GunShotGaming 2","https://gunshotgaming2.itch.io/tracks","Traintracks (Bitsy Jam)","",""
"A1B12872","01/10/2017","Just five minutes","Bastien Barault","https://bastien-barault.itch.io/just-five-minutes","Traintracks (Bitsy Jam)","",""
"0053B32F","01/10/2017","TUNNEL","James Wood","https://jctwood.itch.io/tunnel","Traintracks (Bitsy Jam)","","(modded to play two bitsy games side by side)"
"F8D7930C","01/10/2017","waking up while the sun sets","triage*","https://triage.itch.io/waking-up-while-the-sun-sets","Traintracks (Bitsy Jam)","",""
"EA319FD2","01/10/2017","elsewhere","prep","https://prep.itch.io/elsewhere","Traintracks (Bitsy Jam)","",""
"111183BD","02/10/2017","running late","Sean","https://seansleblanc.itch.io/running-late","Traintracks (Bitsy Jam)","",""
"1061ADED","02/10/2017","On the Way","AdventurJourney","https://adventurjourney.itch.io/on-the-way","Traintracks (Bitsy Jam)","",""
"A6E82C67","02/10/2017","Got to catch that Train!","Centuria game dev","https://centuria-game-dev.itch.io/got-to-catch-that-train","Traintracks (Bitsy Jam)","",""
"FCD95029","02/10/2017","Tome full of stars","Adam Dixon","https://adtidi.itch.io/tome-full-of-stars","","",""
"48F5E0C8","02/10/2017","Little Garden","Fran Segura","https://fsegura.itch.io/little-garden","","",""
"03B699D5","03/10/2017","You Die Here","Jake Tucker","https://jaketucker.itch.io/you-die-here","","",""
"4C5AFBAC","04/10/2017","METRODUNGEON","TENCOW","https://tencow.itch.io/metrodungeon","","",""
"9DAD710D","05/10/2017","Train","idlephononautica","https://idlephononautica.itch.io/train","","",""
"E900BE2C","06/10/2017","Amerivana","Tom Ciccone","https://tomciccone.itch.io/amerivana","","",""
"F9B6E61F","08/10/2017","Tutorial","Claire Morley","https://claire1605.itch.io/tutorial","","",""
"2D678F83","09/10/2017","Don't make a hash of it","Peter Morley","https://claire1605.itch.io/dont-make-a-hash-of-it","","",""
"C098B12B","10/10/2017","Welcome to Cat World","Shadownat3","https://shadownat3.itch.io/welcome-to-cat-world-","","",""
"EDB03D05","13/10/2017","Obstinate Obstacles","Peter Morley","https://claire1605.itch.io/obstinate-obstacles","","",""
"09B71F13","14/10/2017","A Boneless Halloween?","Yukon W.","https://yukonw.itch.io/a-boneless-halloween","","",""
"6A6620B2","17/10/2017","Learning the Code","StoriesWithoutBordersJam","https://storieswithoutbordersjam.itch.io/learning-the-code","","",""
"8F03EC17","17/10/2017","Pauper's Bride (And Gun)","neven","https://neven.itch.io/paupers-bride-and-gun","","",""
"138A5257","17/10/2017","Pμcman","wjhollyart","https://wjhollyart.itch.io/pmucman","","",""
"DA00D39D","18/10/2017","The Apprentice","plasticrabbit","https://plasticrabbit.itch.io/apprentice","","",""
"D1BE479B","18/10/2017","King's lost crown","VexPol","https://vexpol.itch.io/kings-lost-crown","","",""
"05F4D802","20/10/2017","You are an obficilator.","Moshi","https://moshi.itch.io/obficilator","","",""
"946E85B3","21/10/2017","game","Radiosoap","https://radiosoap.itch.io/game","","",""
"A7DF882E","23/10/2017","THe Exile on the Long Shore","scarletCatalie","https://scarletcatalie.itch.io/the-exile","","",""
"5EC447A8","23/10/2017","Lama Hide and Seek","lajiao","https://lajiao.itch.io/lama-hide-and-seek","","",""
"D3A5C1D7","23/10/2017","Aisling Faoi Thoinn","Breogán Hackett","https://boaheck.itch.io/aft","Castles & Ruins (Bitsy Jam)","",""
"A82F4321","24/10/2017","Through the waves to the never.","MetalChouchen","https://metalchouchen.itch.io/through-the-waves-to-the-never","","",""
"33A7BC37","25/10/2017","The Sand Bully","Permafried Games","https://permafriedgames.itch.io/the-sand-bully","Castles & Ruins (Bitsy Jam)","",""
"FEC6E602","25/10/2017","The Witchfinder","wolfcartel","https://wolfcartel.itch.io/the-witchfinder","Castles & Ruins (Bitsy Jam)","",""
"E4A85876","25/10/2017","Junk Shop Telescope","cephalopodunk","https://cephalopodunk.itch.io/junk-shop-telescope","Castles & Ruins (Bitsy Jam)","",""
"73D4BBDE","25/10/2017","the last days of our castle","Mark Wonnacott","https://candle.itch.io/castle","Castles & Ruins (Bitsy Jam)","",""
"AFE9FE51","25/10/2017","The Something of Quiboloy","cooljpeg","https://cooljpeg.itch.io/the-something-of-quiboloy","","",""
"5BCFD3B5","26/10/2017","Alabaster","Pierrec","https://pierrec.itch.io/alabaster","","",""
"40E58B03","26/10/2017","monolith","Radiosoap","https://radiosoap.itch.io/monolith","Castles & Ruins (Bitsy Jam)","",""
"5D2B55A9","26/10/2017","Tiny Castle Emporium","Jackson Allen","https://jackson-allen.itch.io/tiny-castle","Castles & Ruins (Bitsy Jam)","",""
"C7441141","27/10/2017","Please don't enter this castle.","Wood Giant Studio","https://woodgiantstudio.itch.io/please-dont","Castles & Ruins (Bitsy Jam)","",""
"1AD8A3BC","28/10/2017","The Hangan Temple","paulthegrub","https://paulthegrub.itch.io/the-hangan-temple","Castles & Ruins (Bitsy Jam)","",""
"D10C74D1","28/10/2017","Castle Escape","shiny objects studio","https://shiny-objects-studio.itch.io/castle-escape","Castles & Ruins (Bitsy Jam)","",""
"0A7FAC59","28/10/2017","chickory adventures","Savage//Noble","https://savagenoble.itch.io/chickory-adventures","","",""
"08821F86","29/10/2017","The Naga Vault","JSant","https://jsant.itch.io/the-naga-vault","Castles & Ruins (Bitsy Jam)","",""
"3176561B","29/10/2017","Glisten","Ebriosus Beati","https://ebriosus.itch.io/glisten","Castles & Ruins (Bitsy Jam)","",""
"6542595A","29/10/2017","Old Glory","AgentAPM","https://agentapm.itch.io/old-glory","Castles & Ruins (Bitsy Jam)","",""
"B0AA21CC","29/10/2017","Ghost","Tyu","https://tyu.itch.io/ghost","","",""
"8D020129","30/10/2017","A videogame life in ruins","fizzhog","https://fizzhog.itch.io/a-videogame-life-in-ruins","Castles & Ruins (Bitsy Jam)","",""
"B53D6E92","30/10/2017","i married the Earl of Egremont","fizzhog","https://fizzhog.itch.io/i-married-the-earl-of-egremont","Castles & Ruins (Bitsy Jam)","",""
"DE25B125","30/10/2017","The Secret of the Scarlet Eye","8BitLlama","https://8bitllama.itch.io/the-secret-of-the-scarlet-eye","Castles & Ruins (Bitsy Jam)","",""
"B3CBFE3E","30/10/2017","Mr. Space Pancake","gringogidget","https://gringogidget.itch.io/mr-space-pancake","Castles & Ruins (Bitsy Jam)","",""
"798A8E06","30/10/2017",":someone else:","JcupDavis","https://jcupdavis.itch.io/someone-else","Castles & Ruins (Bitsy Jam)","",""
"CD609E8E","30/10/2017","Epistles & Ruins","quasiotter","https://quasiotter.itch.io/epistles-ruins","Castles & Ruins (Bitsy Jam)","",""
"A9764623","30/10/2017","Sunshine and Sangria","OhLookCake","https://ohlookcake.itch.io/sunshine-and-sangria","","",""
"09602128","31/10/2017","Spooky Crew","Morakimo","https://morakimo.itch.io/spooky-crew","Castles & Ruins (Bitsy Jam)","",""
"0E090571","31/10/2017","Sleepwalker","Mr. Yellow","https://mryellow.itch.io/sleepwalker","Castles & Ruins (Bitsy Jam)","",""
"3D4BFC11","31/10/2017","Everything Must Fall","halkon","https://halkon.itch.io/everything-must-fall","Castles & Ruins (Bitsy Jam)","",""
"DBF460CF","31/10/2017","The Safest Place","excuseforjuice","https://excuseforjuice.itch.io/siege","Castles & Ruins (Bitsy Jam)","",""
"3C814196","31/10/2017","A Quest for Candy","its5AM","https://heyits5am.itch.io/a-quest-for-candy","Castles & Ruins (Bitsy Jam)","",""
"54E67FA8","31/10/2017","A Hefty Reward","SunsetDynamite","https://sunsetdynamite.itch.io/a-hefty-reward","Castles & Ruins (Bitsy Jam)","",""
"553ECB46","31/10/2017","Optional Boss","scarletCatalie","https://scarletcatalie.itch.io/optional-boss","Castles & Ruins (Bitsy Jam)","",""
"12490381","31/10/2017","Picnic at Castle Island","Breogán Hackett","https://boaheck.itch.io/castle-island","Castles & Ruins (Bitsy Jam)","",""
"6F87BF57","31/10/2017","Салют-6","Zeego","https://zeego.itch.io/salyut-6","","",""
"26E774FB","01/11/2017","A Baronet and A Ghost","DrowniAce","https://drowniace.itch.io/a-baronet-and-a-ghost","Castles & Ruins (Bitsy Jam)","",""
"F425D6EE","01/11/2017","Party at night","suger","https://suger.itch.io/some-night","Castles & Ruins (Bitsy Jam)","",""
"EB09383E","01/11/2017","castles","Sean","https://seansleblanc.itch.io/castles","Castles & Ruins (Bitsy Jam)","",""
"3861024D","01/11/2017","Xanadu","riffsircar","https://riffsircar.itch.io/xanadu","Castles & Ruins (Bitsy Jam)","",""
"24C74F49","01/11/2017","Unfinished Novels","Scared Square Games","https://scared-square-games.itch.io/unfinished-novels","Castles & Ruins (Bitsy Jam)","",""
"AC38580F","01/11/2017","How does a crab become a hermit crab?","lunarDust","https://lunardust.itch.io/how","Castles & Ruins (Bitsy Jam)","",""
"5C266B6B","02/11/2017","rainy day","JcupDavis","https://jcupdavis.itch.io/rainy-day","","",""
"BF426B4D","03/11/2017","Sticks and Stones","ergi","https://ergi.itch.io/sticksstones","","",""
"7C0211E8","04/11/2017","Realisations","Becklespinax","https://becklespinax.itch.io/realisations","","",""
"0A197059","05/11/2017","Basement","Anders Christian Larsson","https://a-c-l.itch.io/basement","","",""
"5E5DDACD","06/11/2017","space wolf tango","videodante","https://videodante.itch.io/space-wolf-tango","","",""
"1999D575","06/11/2017","Beach Dog","dom2d","https://dom2d.itch.io/beach-dog","","",""
"C87E0B9F","06/11/2017","A little birdy","Becklespinax","https://becklespinax.itch.io/a-little-birdy","","",""
"74802FE3","06/11/2017","Thank You For Everything","wjhollyart","https://wjhollyart.itch.io/thank-you-for-everything","","",""
"69791073","07/11/2017","Still alone","No Time To Play","https://notimetoplay.itch.io/still-alone","","",""
"755DA50E","08/11/2017","You Arrive At A Party","Brandon Thread","https://brandonmakesthings.itch.io/you-arrive-at-a-party","","",""
"29079BED","09/11/2017","Wise Old Tree","Pilchard","https://pilchard.itch.io/wise-old-tree","","",""
"18A82FC7","09/11/2017","Current Mood","Quantum Sheep","https://quantumsheep.itch.io/current-mood","","",""
"04716E2A","10/11/2017","A Walk in a Field","Brandon Thread","https://brandonmakesthings.itch.io/a-walk-in-a-field","","",""
"4B1E6A14","11/11/2017","The Creature Lives!","Cian Rice","https://thecianrice.itch.io/the-creature-lives","","",""
"A8D107B2","16/11/2017","King Butt Eater","IndieGage","https://indiegage.itch.io/king-butt-eater","","",""
"DE0CBAF5","17/11/2017","Somewhere In The Forest","ghhghgghghghgh","https://ghhghgghghghgh.itch.io/somewhere-in-the-forest","","",""
"3CC8CCAD","19/11/2017","Where is my cat","Jonas Hansen","http://pixelsix.net/tmp/bitsy/MyCat.html","","","(and son)"
"777C0F6E","19/11/2017","Hallo juri","Jonas Hansen","http://pixelsix.net/tmp/bitsy/JurisSpiel.html","","","(and son)"
"74685D79","19/11/2017","Shrine for the god of lost things","Adam Le Doux","https://ledoux.itch.io/lost-things","","",""
"6A3083F8","19/11/2017","Super Mario Clouds","Mark Wonnacott","https://candle.itch.io/clouds","","",""
"30A92632","19/11/2017","sojourn","Claire Morley, Ashley Gwinnel","https://claire1605.itch.io/sojourn","","",""
"CEE09B32","20/11/2017","Contained Mind","DGTILL","https://dgtill.itch.io/containedmind","","",""
"ECD56A4F","20/11/2017","Leaky Tap","Brandon Thread","https://brandonmakesthings.itch.io/leaky-tap","","",""
"D373F018","20/11/2017","Bric-a-Brac Shop","wjhollyart","https://wjhollyart.itch.io/bric-a-brac-shop","Bric-A-Brac (Bitsy Jam)","",""
"F79D5368","21/11/2017","the fox and the moon","Hazel-Rah","https://hazel-rah.itch.io/the-fox-and-the-moon","","",""
"78A27FA0","21/11/2017","Island adventure","VexPol","https://vexpol.itch.io/island-adventure","","",""
"8FD1BE60","21/11/2017","I am here","MrTedders","https://mrtedders.itch.io/i-am-here","","",""
"C03BEFC8","24/11/2017","Bric-a-Brac Shop","VexPol","https://vexpol.itch.io/bric-a-brac-museum","Bric-A-Brac (Bitsy Jam)","",""
"1DF4D7DC","25/11/2017","bearfriend","Redye","https://redye.itch.io/bf","","",""
"20F07BE9","25/11/2017","The Bazaar","mogibear","https://mogibear.itch.io/the-bazaar","Bric-A-Brac (Bitsy Jam)","",""
"D84CBFFF","26/11/2017","The Great Divide","phoebe flowerditch","https://flowerditch.itch.io/the-great-divide","","",""
"55EB6535","26/11/2017","minimalist","ruin","https://ruin.itch.io/minimalist","Bric-A-Brac (Bitsy Jam)","",""
"9724BF5E","26/11/2017","Audio test","VexPol","https://vexpol.itch.io/audio-test","","","""Testing out audio on a bitsy game."""
"DB290C99","27/11/2017","It's Time to Make a Game...","Riz'nt","https://riznt.itch.io/its-time-to-make-a-game","Bric-A-Brac (Bitsy Jam)","",""
"AEADD21B","27/11/2017","101 Years","Crip","https://eclectia.itch.io/101-years","Bric-A-Brac (Bitsy Jam)","",""
"89711E3E","27/11/2017","Realm of the Dread Sorceress","cephalopodunk","https://cephalopodunk.itch.io/rotds","Bric-A-Brac (Bitsy Jam)","",""
"83B788F8","28/11/2017","La Katulo","Sophie Houlden","https://sophieh.itch.io/la-katulo","","",""
"607F6B6B","28/11/2017","A Landfill","Saranomy","https://saranomy.itch.io/a-landfill","Bric-A-Brac (Bitsy Jam)","",""
"BC8687CD","28/11/2017","Cold Neon Dreams","Dan Cox","https://videlais.itch.io/cold-neon-dreams","Bric-A-Brac (Bitsy Jam)","",""
"196C5CFE","28/11/2017","a day on the town","Sean","https://itch.io/jam/bric-a-brac/rate/198299","Bric-A-Brac (Bitsy Jam)","",""
"679E2458","28/11/2017","Hove","Kai20","https://kai20.itch.io/hove","Bric-A-Brac (Bitsy Jam)","",""
"31102002","28/11/2017","little helper","puprika","https://puprika.itch.io/little-helper","Bric-A-Brac (Bitsy Jam)","",""
"FBA6E8A4","28/11/2017","a captain's lonely 60 days","leonie","https://yellow-attic.itch.io/a-captains-lonely-60-days","Bric-A-Brac (Bitsy Jam)","",""
"B829EF86","28/11/2017","The Humility Feast","Taras Tymoshenko","https://desktop-metaphor.itch.io/the-humility-feast","Bric-A-Brac (Bitsy Jam)","",""
"75F3FE47","28/11/2017","It's just a crumpled piece of paper.","Riz'nt","https://riznt.itch.io/its-just-a-crumpled-piece-of-paper","Bric-A-Brac (Bitsy Jam)","",""
"FFC7218C","28/11/2017","In Between","Oscar","https://oscarj.itch.io/in-between","","",""
"24C5C5FA","28/11/2017","NIGHTMARE ROOM","AQUANAUTS HOLIDAY","https://aquanauts-holiday.itch.io/nightmare-room","","",""
"B1FBD955","29/11/2017","...and so I go to where the snow goes.","OfficiousBrick","https://officiousbrick.itch.io/and-so-i-go-to-where-the-snow-goes","","",""
"67881DA4","29/11/2017","Mini Museum","Maxime Monast","https://theghostbear.itch.io/mini-museum","Bric-A-Brac (Bitsy Jam)","",""
"BBB98596","30/11/2017","bric//brac - things they lost","Cian Rice","https://thecianrice.itch.io/bricbrac-things-they-lost","Bric-A-Brac (Bitsy Jam)","",""
"362F1E1D","02/12/2017","Time to dig out that ugly Christmas jumper","Jono Sandliands","https://jonosandilands.itch.io/ugly-christmas-jumper","Bric-A-Brac (Bitsy Jam)","",""
"AAAD8B26","02/12/2017","Solve My Puzzle","Tinybeegames","https://tinybeegames.itch.io/solve-my-puzzle","Bric-A-Brac (Bitsy Jam)","",""
"E9BD4E46","02/12/2017","Sea drift at the edge of the forest","Jess Driscoll","https://jessdriscoll.itch.io/edge-of-the-forest","Bric-A-Brac (Bitsy Jam)","",""
"7BD4C1E0","02/12/2017","the ipa vowel chart game","ari","https://arieljmoody.itch.io/vowel-chart","","",""
"272A9284","03/12/2017","ERROR : FILE NOT FOUND","twowoods","https://twowoods.itch.io/error","Bric-A-Brac (Bitsy Jam)","",""
"E316AA81","03/12/2017","The Spirit of Things","leafykayo","https://leafykayo.itch.io/the-spirit-of-things","Bric-A-Brac (Bitsy Jam)","",""
"13935F38","03/12/2017","A Ghost in the Thrift Store","Awesomonster","https://awesomonster.itch.io/a-ghost-in-the-thrift-store","Bric-A-Brac (Bitsy Jam)","",""
"8C057B81","03/12/2017","on miniaturization","Coleo_Kin","https://coleo_kin.itch.io/on-miniaturization","Bric-A-Brac (Bitsy Jam)","",""
"010BEB39","03/12/2017","flotsam","Mark Wonnacott","https://candle.itch.io/flotsam","Bric-A-Brac (Bitsy Jam)","",""
"D60E6D7F","03/12/2017","Or Else","rabbitboots","https://rabbitboots.itch.io/or-else","","",""
"76EB6E4A","03/12/2017","I'll get to this chest!","Vincent Vially","https://vincent-vially.itch.io/chest","","",""
"DD37E930","03/12/2017","NOMIRACLE","Lorenzo Pilia","https://lorenzo.itch.io/nomiracle","","",""
"031FAA8A","04/12/2017","Leblanc","Bastien Barault","https://bastien-barault.itch.io/leblanc","Bric-A-Brac (Bitsy Jam)","",""
"E2417E83","04/12/2017","Underwater Treasure","Lucky Pixel","https://music-monster.itch.io/underwater-treasure-bitsy-jam","Bric-A-Brac (Bitsy Jam)","",""
"5459452D","04/12/2017",".clc","Orikingium Studios","https://orikingium-studios.itch.io/clc","Bric-A-Brac (Bitsy Jam)","",""
"23D3C1FE","04/12/2017","little treasures","meowchelle","https://meowchelle.itch.io/little-treasures","Bric-A-Brac (Bitsy Jam)","",""
"2AE5B41F","04/12/2017","cleaning house","npckc","https://npckc.itch.io/cleaning-house","Bric-A-Brac (Bitsy Jam)","",""
"24AC79FF","04/12/2017","Memories In The Snow","Brandon Thread","https://brandonmakesthings.itch.io/memories-in-the-snow","","",""
"3013C4CA","04/12/2017","Home decoration.","ruthvik","https://ruthvik.itch.io/home-decoration","","",""
"0295BEE2","04/12/2017","A Birthday Present","lajiao","https://lajiao.itch.io/a-birthday-present","","",""
"764BFE8E","04/12/2017","Inventory","Jess Driscoll","https://tyu.itch.io/ghost","","",""
"9DBCF1CA","04/12/2017","00:44","ergman","https://ergman.itch.io/1244-am","","",""
"86D663A0","04/12/2017","Nomi Is Missing","Sjors Houkes","https://sh.itch.io/nomi-is-missing","","",""
"B9E8AB34","04/12/2017","A cozy winter walk","Tiny Worlds","https://tinyworlds.itch.io/winterwalk","","",""
